lat,lng,q
-29.8,-8.4,11
-6.71667,-13.45,11
-23.36,-39.0317,11
-21.7587,-70.8316,11
-18.4333,-78.2667,11
-12.5667,-78.5833,11
1.94167,-83.8117,11
9.6097,-86.2017,11
9.07,-86.96,11
9.08,-86.96,11
9.09,-87.08,11
2.53333,-87.2217,11
11.12,-87.52,11
9.8167,-93.0333,11
20.7333,-93.1333,11
-46.95,-94.967,11
44.3533,-111.275,11
44.2167,-111.891,11
43.7967,-112.19,11
43.7083,-112.92,11
43.505,-112.936,11
43.555,-112.945,11
43.4917,-113.133,11
44.4367,-114.733,11
39.9017,-118.34,11
41.8917,-122.4,11
41.8983,-122.53,11
-17.0833,-147.2167,11
10.065,-90.64,11.1
10.475,92.825,11.2
35.1301,-37.3783,11.27
-22.86666667,174.35,11.3
-12.9817,174.017,11.3
1.4817,147.967,11.3
-5.033333333,67.45,11.3
10.475,92.85,11.4
69.2817,8.9817,11.4
-46.95,-94.9667,11.4
34.45,-108.79,11.4
9.64,-86.2005,11.48
-26,169.198,11.5
29.8967,-42.9983,11.5
49.51,-11.52,11.6
10.425,92.95,11.6
10.475,92.875,11.6
63.1567,36.1217,11.6
16.742,54.27,11.7
1.26,-137.268,11.7
-23.51666667,-177.7,11.7
10.475,92.9,11.8
39.3583,-118.55,11.8
38.35,-73.38,11.9
35,32.45,12
35,32.4333,12
67.6333,26.25,12
-11.2667,-27.1167,12
24.94,122.7,12
6.3833,-113.5333,12
-26,169.2,12
2.46,142.683,12
-2.8167,119.933,12
16.2517,102.875,12
16.2517,102.875,12
-11.4833,65,12
43.36667,39.83333,12
43.3667,39.8333,12
42.9333,37.3833,12
-11.1,34.43333,12
43.3167,31.4333,12
36.395,30.2117,12
51.3,28.4667,12
38.65,19.23333,12
38.65,19.23333,12
38.65,19.23333,12
38.65,19.23333,12
40.56,13.1133,12
36.80639,-2.72583,12
36.80639,-2.72583,12
36.21,-5.93389,12
36.21,-5.93389,12
-10,-15.4333,12
-27.385,-41.977,12
29.8967,-42.9983,12
-18.0167,-73.9333,12
-36.02,-74.62,12
-16,-77.0833,12
36.0167,-80.4167,12
-5.6,-85.6667,12
8.631,-85.883,12
2.485,-86.0217,12
32.6317,-86.0267,12
2.25833,-86.0467,12
9.58,-86.23,12
9.05,-86.96,12
11.1068,-87.6342,12
11.1068,-87.6342,12
10.0583,-90.763,12
-20.5,-98.4667,12
44.3533,-111.28,12
43.8183,-111.561,12
44.1017,-111.6083,12
44.2917,-111.821,12
43.8233,-112.03,12
43.71,-112.92,12
43.4933,-113.13,12
2.51,-121.472,12
42.005,-121.8217,12
42.0933,-121.9033,12
41.59,-121.955,12
50.54,-130.888,12
50.54,-130.8883,12
-13.6167,-145.05,12
-20.35,-173.25,12
-23.5167,-177.7,12
-7.98,158.632,12.1
10.475,92.925,12.1
-12.1,70.6333,12.1
2.501666667,-121.4675,12.1
-20.35,-173.25,12.1
10.45,92.95,12.3
16.763,54.282,12.4
10.65,93.025,12.4
10.0583,-90.7617,12.4
10.625,93.025,12.5
39.68,-117.91,12.5
22.8194,-46.1103,12.59
16.717,54.26,12.6
-24,177.8333333,12.6
-17.55,172.1333333,12.6
29.1,135.667,12.6
83.2,120.233,12.6
10.65,93,12.6
10.55,92.975,12.6
31.81666667,35.03611111,12.6
10.575,92.975,12.7
10.1283,-90.6867,12.7
10.6,93,12.8
10.625,93,12.8
10.475,92.95,12.8
10.0317,-90.8767,12.8
17.269,56.68,12.9
10.6,92.975,12.9
10.625,92.975,12.9
62.7833,29.2167,13
35.2333,32.9333,13
34.8833,32.5167,13
36.95,-33.1983,13
1.94833,-86.02,13
17.99833,-99.77833,13
17.99833,-99.77833,13
18.885,-103.31667,13
18.885,-103.31667,13
1.7167,-109.3333,13
40.45,19.55,13
-7.33667,-103.03,13
1.85,-131.7,13
-18.225,166.695,13
38.1833,17.9667,13
29.9,-45.11667,13
29.9,-45.11667,13
21.1,-46.5,13
13.2667,-42.85,13
13.2667,-42.85,13
16.7833,-57.8167,13
16.7833,-57.8167,13
45.3933,-29.455,13
45.3933,-29.455,13
-24,177.833,13
-38.425,175.8067,13
-17.55,172.133,13
16.9217,145.2033,13
17.7833,143.6733,13
21.0983,143.302,13
28.435,139.597,13
27.85,139.337,13
27.85,139.337,13
27.85,137.133,13
-56.217,134.017,13
29.55,131.4167,13
24.1833,130.35,13
24.1833,130.35,13
24.0183,130.035,13
15.1,124.133,13
0.6667,123.117,13
-3.73333,99.9333,13
10.55,93,13
10.65,92.975,13
10.5,92.95,13
-2.45,71.1333,13
-20.6667,69.95,13
-28.6007,67.2708,13
-5.86667,66.6,13
39.3167,50,13
42.3667,38.4833,13
32.75333333,35.06388889,13
32.7533,35.0633,13
31.8167,35.0367,13
-11.28333,34.31667,13
43,31.9333,13
43.3167,30.9833,13
43.5833,30.9,13
